scalerank	featurecla	labelrank	sovereignt	sov_a3	adm0_dif	level	type	admin	adm0_a3	geou_dif	geounit	gu_a3	su_dif	subunit	su_a3	brk_diff	name	name_long	brk_a3	brk_name	brk_group	abbrev	postal	formal_en	formal_fr	note_adm0	note_brk	name_sort	name_alt	mapcolor7	mapcolor8	mapcolor9	mapcolor13	pop_est	gdp_md_est	pop_year	lastcensus	gdp_year	economy	income_grp	wikipedia	fips_10	iso_a2	iso_a3	iso_n3	un_a3	wb_a2	wb_a3	woe_id	adm0_a3_is	adm0_a3_us	adm0_a3_un	adm0_a3_wb	continent	region_un	subregion	region_wb	name_len	long_len	abbrev_len	tiny	homepart	day0	day1	day2	day3	day4	day5	day6	day7	day8	day9
1	Admin-0 country	4	Switzerland	CHE	0	2	Sovereign country	Switzerland	CHE	0	Switzerland	CHE	0	Switzerland	CHE	0	Switzerland	Switzerland	CHE	Switzerland		Switz.	CH	Swiss Confederation				Switzerland		5	2	7	3	7604467	316700.0	-99	2010	-99	2. Developed region: nonG7	1. High income: OECD	-99		CH	CHE	756	756	CH	CHE	-99	CHE	CHE	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	11	11	6	-99	1	#97245a	#63e7e4	#776cc4	#4d44cc	#c61a29	#ca4def	#99b71c	#e0e374	#854ad5	#44ea
1	Admin-0 country	2	Chile	CHL	0	2	Sovereign country	Chile	CHL	0	Chile	CHL	0	Chile	CHL	0	Chile	Chile	CHL	Chile		Chile	CL	Republic of Chile				Chile		5	1	5	9	16601707	244500.0	-99	2002	-99	5. Emerging region: G20	3. Upper middle income	-99		CL	CHL	152	152	CL	CHL	-99	CHL	CHL	-99	-99	South America	Americas	South America	Latin America & Caribbean	5	5	5	-99	1	#4e6906	#7a2e1	#e83aae	#7b8b5a	#b5e904	#7a0f32	#acf8c8	#b16dd0	#3fa742	#dd6b6b
1	Admin-0 country	2	China	CH1	1	2	Country	China	CHN	0	China	CHN	0	China	CHN	0	China	China	CHN	China		China	CN	People's Republic of China				China		4	4	4	3	1338612970	7973000.0	-99	2010	-99	3. Emerging region: BRIC	3. Upper middle income	-99		CN	CHN	156	156	CN	CHN	-99	CHN	CHN	-99	-99	Asia	Asia	Eastern Asia	East Asia & Pacific	5	5	5	-99	1	#2d7d5c	#ba6da2	#4ecb87	#6adbda	#ff6652	#df831e	#fa7d9f	#85746b	#5eb0ae	#85808a
1	Admin-0 country	3	Ivory Coast	CIV	0	2	Sovereign country	Ivory Coast	CIV	0	Ivory Coast	CIV	0	Ivory Coast	CIV	0	Côte d'Ivoire	Côte d'Ivoire	CIV	Côte d'Ivoire		I.C.	CI	Republic of Ivory Coast	Republic of Cote D'Ivoire			Côte d'Ivoire		4	6	3	3	20617068	33850.0	-99	1998	-99	6. Developing region	4. Lower middle income	-99		CI	CIV	384	384	CI	CIV	-99	CIV	CIV	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	13	13	4	-99	1	#b3167e	#b0d3d2	#9d0725	#4befca	#1769fc	#c2358a	#763f1a	#ba5730	#90b4a	#328866
1	Admin-0 country	3	Cameroon	CMR	0	2	Sovereign country	Cameroon	CMR	0	Cameroon	CMR	0	Cameroon	CMR	0	Cameroon	Cameroon	CMR	Cameroon		Cam.	CM	Republic of Cameroon				Cameroon		1	4	1	3	18879301	42750.0	-99	2005	-99	6. Developing region	4. Lower middle income	-99		CM	CMR	120	120	CM	CMR	-99	CMR	CMR	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	8	8	4	-99	1	#524591	#2c3aaf	#6aad89	#9e756	#1f2881	#75fb3d	#eb3891	#a41f0f	#47a246	#bc25b6
1	Admin-0 country	2	Democratic Republic of the Congo	COD	0	2	Sovereign country	Democratic Republic of the Congo	COD	0	Democratic Republic of the Congo	COD	0	Democratic Republic of the Congo	COD	0	Dem. Rep. Congo	Democratic Republic of the Congo	COD	Democratic Republic of the Congo		D.R.C.	DRC	Democratic Republic of the Congo				Congo, Dem. Rep.		4	4	4	7	68692542	20640.0	-99	1984	-99	7. Least developed region	5. Low income	-99		CD	COD	180	180	ZR	ZAR	-99	COD	COD	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	15	32	6	-99	1	#8d41a9	#6a303a	#f40156	#24a874	#52cdf1	#bf722b	#f59832	#995b87	#6e97ac	#e30272
1	Admin-0 country	4	Republic of Congo	COG	0	2	Sovereign country	Republic of Congo	COG	0	Republic of Congo	COG	0	Republic of Congo	COG	0	Congo	Republic of Congo	COG	Republic of Congo		Rep. Congo	CG	Republic of Congo				Congo, Rep.		2	1	3	10	4012809	15350.0	-99	2007	-99	6. Developing region	4. Lower middle income	-99		CG	COG	178	178	CG	COG	-99	COG	COG	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	5	17	10	-99	1	#154a35	#13a3e5	#4c5e17	#29205c	#bb80d3	#e11946	#996e16	#a0c602	#3152ad	#3f1a7f
3	Admin-0 country	4	New Zealand	NZ1	1	2	Dependency	Cook Islands	COK	0	Cook Islands	COK	0	Cook Islands	COK	0	Cook Is.	Cook Islands	COK	Cook Is.		Cook Is.	CK			Assoc. with N.Z.		Cook Islands		3	3	4	4	11870	183.2	-99	-99	-99	6. Developing region	3. Upper middle income	-99		CK	COK	184	184	-99	-99	-99	COK	COK	-99	-99	Oceania	Oceania	Polynesia	East Asia & Pacific	8	12	8	3	-99	#e50c2b	#e1d8b6	#9bb998	#6af016	#76e47b	#56655a	#c12303	#bd09eb	#1b5d2f	#6f540f
1	Admin-0 country	2	Colombia	COL	0	2	Sovereign country	Colombia	COL	0	Colombia	COL	0	Colombia	COL	0	Colombia	Colombia	COL	Colombia		Col.	CO	Republic of Colombia				Colombia		2	1	3	1	45644023	395400.0	-99	2006	-99	6. Developing region	3. Upper middle income	-99		CO	COL	170	170	CO	COL	-99	COL	COL	-99	-99	South America	Americas	South America	Latin America & Caribbean	8	8	4	-99	1	#3d1169	#753dc2	#85de13	#1c393b	#c7834	#392399	#bf66e6	#cebee4	#ee0a56	#efa1e0
1	Admin-0 country	6	Comoros	COM	0	2	Sovereign country	Comoros	COM	0	Comoros	COM	0	Comoros	COM	0	Comoros	Comoros	COM	Comoros		Com.	KM	Union of the Comoros				Comoros		2	1	4	10	752438	751.2	-99	2003	-99	7. Least developed region	5. Low income	-99		KM	COM	174	174	KM	COM	-99	COM	COM	-99	-99	Africa	Africa	Eastern Africa	Sub-Saharan Africa	7	7	4	2	1	#cb3528	#44e8a2	#b23ac1	#6f6b30	#d955bf	#cf45ef	#d18089	#a75798	#9c9fa3	#126fcb
1	Admin-0 country	4	Cape Verde	CPV	0	2	Sovereign country	Cape Verde	CPV	0	Cape Verde	CPV	0	Cape Verde	CPV	0	Cape Verde	Cape Verde	CPV	Cape Verde		C.Vd.	CV	Republic of Cape Verde				Cape Verde		1	1	4	11	429474	1626.0	-99	2010	-99	6. Developing region	4. Lower middle income	-99		CV	CPV	132	132	CV	CPV	-99	CPV	CPV	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	10	10	5	-99	1	#d77c6f	#18196c	#fbfc48	#227486	#56a58c	#eef711	#bf403	#433d31	#5480eb	#3c145b
1	Admin-0 country	5	Costa Rica	CRI	0	2	Sovereign country	Costa Rica	CRI	0	Costa Rica	CRI	0	Costa Rica	CRI	0	Costa Rica	Costa Rica	CRI	Costa Rica		C.R.	CR	Republic of Costa Rica				Costa Rica		3	2	4	2	4253877	48320.0	-99	2011	-99	5. Emerging region: G20	3. Upper middle income	-99		CR	CRI	188	188	CR	CRI	-99	CRI	CRI	-99	-99	North America	Americas	Central America	Latin America & Caribbean	10	10	4	-99	1	#d8bdc0	#44249b	#d401a1	#bc618e	#69188d	#11db4e	#557307	#82eec	#c3215b	#f8650e
1	Admin-0 country	3	Cuba	CUB	0	2	Sovereign country	Cuba	CUB	0	Cuba	CUB	0	Cuba	CUB	0	Cuba	Cuba	CUB	Cuba		Cuba	CU	Republic of Cuba				Cuba		3	5	3	4	11451652	108200.0	-99	2002	-99	5. Emerging region: G20	3. Upper middle income	-99		CU	CUB	192	192	CU	CUB	-99	CUB	CUB	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	4	4	4	-99	1	#768fcb	#f6d956	#37d611	#d2de4d	#6ac606	#515478	#f7e600	#542817	#122f2e	#595937
3	Admin-0 country	5	Netherlands	NL1	1	2	Country	Curaçao	CUW	0	Curaçao	CUW	0	Curaçao	CUW	0	Curaçao	Curaçao	CUW	Curaçao		Cur.	CW	Curaçao		Neth.		Curaçao		4	2	2	9	141766	2838.0	-99	-99	-99	6. Developing region	2. High income: nonOECD	-99		CW	CUW	531	531	CW	CUW	-99	CUW	CUW	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	7	7	4	4	-99	#ea955d	#cea534	#700a05	#febed8	#2dc0b8	#b639c7	#de5ec	#c0ea94	#bbc21f	#e5cbaa
1	Admin-0 country	5	United Kingdom	GB1	1	2	Dependency	Cayman Islands	CYM	0	Cayman Islands	CYM	0	Cayman Islands	CYM	0	Cayman Is.	Cayman Islands	CYM	Cayman Is.		Cym. Is.	KY	Cayman Islands		U.K.		Cayman Islands		6	6	6	3	49035	1939.0	-99	2010	-99	5. Emerging region: G20	2. High income: nonOECD	-99		KY	CYM	136	136	KY	CYM	-99	CYM	CYM	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	10	14	8	2	-99	#44fc9a	#da25a2	#bbe998	#a9c2d9	#156cd3	#97bb28	#f9cf79	#901ca0	#ca8edd	#6cb004
1	Admin-0 country	5	Cyprus	CYP	0	2	Sovereign country	Cyprus	CYP	0	Cyprus	CYP	0	Cyprus	CYP	0	Cyprus	Cyprus	CYP	Cyprus		Cyp.	CY	Republic of Cyprus				Cyprus		1	2	3	7	531640	22700.0	-99	2001	-99	6. Developing region	2. High income: nonOECD	-99		CY	CYP	196	196	CY	CYP	-99	CYP	CYP	-99	-99	Asia	Asia	Western Asia	Europe & Central Asia	6	6	4	-99	1	#6977e1	#e86300	#4e45ea	#c5ebf1	#3f357f	#7ba524	#8ed2d2	#2707e0	#75f15b	#167973
1	Admin-0 country	5	Czech Republic	CZE	0	2	Sovereign country	Czech Republic	CZE	0	Czech Republic	CZE	0	Czech Republic	CZE	0	Czech Rep.	Czech Republic	CZE	Czech Rep.		Cz. Rep.	CZ	Czech Republic				Czech Republic		1	1	2	6	10211904	265200.0	-99	2011	-99	2. Developed region: nonG7	1. High income: OECD	-99		CZ	CZE	203	203	CZ	CZE	-99	CZE	CZE	-99	-99	Europe	Europe	Eastern Europe	Europe & Central Asia	10	14	8	-99	1	#cb21a7	#7da36f	#53a597	#78477e	#65a145	#5515b5	#4961b3	#95d46e	#78f571	#7371a9
1	Admin-0 country	2	Germany	DEU	0	2	Sovereign country	Germany	DEU	0	Germany	DEU	0	Germany	DEU	0	Germany	Germany	DEU	Germany		Ger.	D	Federal Republic of Germany				Germany		2	5	5	1	82329758	2918000.0	-99	2011	-99	1. Developed region: G7	1. High income: OECD	-99		DE	DEU	276	276	DE	DEU	-99	DEU	DEU	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	7	7	4	-99	1	#22116e	#21a481	#13ba29	#cd47de	#ae936d	#67c0b7	#3e04e2	#3dde0d	#f01917	#98acce
1	Admin-0 country	5	Djibouti	DJI	0	2	Sovereign country	Djibouti	DJI	0	Djibouti	DJI	0	Djibouti	DJI	0	Djibouti	Djibouti	DJI	Djibouti		Dji.	DJ	Republic of Djibouti				Djibouti		1	2	4	8	516055	1885.0	-99	2009	-99	7. Least developed region	4. Lower middle income	-99		DJ	DJI	262	262	DJ	DJI	-99	DJI	DJI	-99	-99	Africa	Africa	Eastern Africa	Middle East & North Africa	8	8	4	-99	1	#7257e8	#393a0d	#de2bae	#6e3fe4	#fb202	#25eac0	#16a77e	#762219	#c65fb1	#863875
1	Admin-0 country	6	Dominica	DMA	0	2	Sovereign country	Dominica	DMA	0	Dominica	DMA	0	Dominica	DMA	0	Dominica	Dominica	DMA	Dominica		D'inca	DM	Commonwealth of Dominica				Dominica		4	5	2	12	72660	719.6	-99	2011	-99	6. Developing region	3. Upper middle income	-99		DM	DMA	212	212	DM	DMA	-99	DMA	DMA	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	8	8	6	4	1	#32797d	#62e237	#13ec38	#daee35	#737bf3	#1e200a	#1106a9	#d9735f	#424634	#86f6cb
1	Admin-0 country	4	Denmark	DN1	1	2	Country	Denmark	DNK	0	Denmark	DNK	0	Denmark	DNK	0	Denmark	Denmark	DNK	Denmark		Den.	DK	Kingdom of Denmark				Denmark		4	1	3	12	5500510	203600.0	-99	2011	-99	2. Developed region: nonG7	1. High income: OECD	-99		DK	DNK	208	208	DK	DNK	-99	DNK	DNK	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	7	7	4	-99	1	#1e4ba3	#9f4bb5	#ce3f38	#ff3581	#b816d0	#c85187	#b6a0f	#90a524	#5b884e	#3b6113
1	Admin-0 country	5	Dominican Republic	DOM	0	2	Sovereign country	Dominican Republic	DOM	0	Dominican Republic	DOM	0	Dominican Republic	DOM	0	Dominican Rep.	Dominican Republic	DOM	Dominican Rep.		Dom. Rep.	DO	Dominican Republic				Dominican Republic		5	2	5	7	9650054	78000.0	-99	2010	-99	6. Developing region	3. Upper middle income	-99		DO	DOM	214	214	DO	DOM	-99	DOM	DOM	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	14	18	9	-99	1	#b7a13f	#d4434e	#ef67ab	#38dfa6	#e32ab2	#13aca8	#e8f660	#90a36b	#a6c53f	#738847
1	Admin-0 country	3	Algeria	DZA	0	2	Sovereign country	Algeria	DZA	0	Algeria	DZA	0	Algeria	DZA	0	Algeria	Algeria	DZA	Algeria		Alg.	DZ	People's Democratic Republic of Algeria				Algeria		5	1	6	3	34178188	232900.0	-99	2008	-99	6. Developing region	3. Upper middle income	-99		DZ	DZA	12	12	DZ	DZA	-99	DZA	DZA	-99	-99	Africa	Africa	Northern Africa	Middle East & North Africa	7	7	4	-99	1	#f3122c	#f6f0be	#6fd7b9	#6c43	#b8f4ac	#efec9c	#991216	#fa1da9	#a3ffd5	#b0e24b
1	Admin-0 country	3	Ecuador	ECU	0	2	Sovereign country	Ecuador	ECU	0	Ecuador	ECU	0	Ecuador	ECU	0	Ecuador	Ecuador	ECU	Ecuador		Ecu.	EC	Republic of Ecuador				Ecuador		1	5	2	12	14573101	107700.0	-99	2010	-99	6. Developing region	3. Upper middle income	-99		EC	ECU	218	218	EC	ECU	-99	ECU	ECU	-99	-99	South America	Americas	South America	Latin America & Caribbean	7	7	4	-99	1	#e46e6c	#28a283	#31c6ed	#946b62	#d6bfaa	#13957d	#e1c617	#597782	#48adda	#cf98d3
1	Admin-0 country	2	Egypt	EGY	0	2	Sovereign country	Egypt	EGY	0	Egypt	EGY	0	Egypt	EGY	0	Egypt	Egypt	EGY	Egypt		Egypt	EG	Arab Republic of Egypt				Egypt, Arab Rep.		4	6	7	2	83082869	443700.0	-99	2006	-99	5. Emerging region: G20	4. Lower middle income	-99		EG	EGY	818	818	EG	EGY	-99	EGY	EGY	-99	-99	Africa	Africa	Northern Africa	Middle East & North Africa	5	5	5	-99	1	#3ea364	#ccd26b	#fcf406	#5c4282	#1d56f7	#7b1ec4	#7715d9	#695f69	#177d0e	#2eb8ad
1	Admin-0 country	4	Eritrea	ERI	0	2	Sovereign country	Eritrea	ERI	0	Eritrea	ERI	0	Eritrea	ERI	0	Eritrea	Eritrea	ERI	Eritrea		Erit.	ER	State of Eritrea				Eritrea		3	1	2	12	5647168	3945.0	-99	1984	-99	7. Least developed region	5. Low income	-99		ER	ERI	232	232	ER	ERI	-99	ERI	ERI	-99	-99	Africa	Africa	Eastern Africa	Sub-Saharan Africa	7	7	5	-99	1	#3c3f38	#108fd2	#d4b995	#365fa3	#640ce6	#f7c1d2	#64fad5	#2d0bed	#8533a8	#82d4d1
1	Admin-0 country	7	Western Sahara	SAH	0	2	Indeterminate	Western Sahara	SAH	0	Western Sahara	SAH	0	Western Sahara	SAH	1	W. Sahara	Western Sahara	B28	W. Sahara		W. Sah.	WS	Sahrawi Arab Democratic Republic		Self admin.	Self admin.; Claimed by Morocco	Western Sahara		4	7	4	4	-99	-99.0	-99	-99	-99	7. Least developed region	5. Low income	-99		EH	ESH	732	732	-99	-99	-99	MAR	SAH	-99	-99	Africa	Africa	Northern Africa	Middle East & North Africa	9	14	7	-99	1	#30e61	#7f3579	#fb895c	#fb0e01	#39742c	#f0cc40	#ba7c05	#2e25d3	#3f4ff9	#aa1e16
1	Admin-0 country	2	Spain	ESP	0	2	Sovereign country	Spain	ESP	0	Spain	ESP	0	Spain	ESP	0	Spain	Spain	ESP	Spain		Sp.	E	Kingdom of Spain				Spain		4	5	5	5	40525002	1403000.0	-99	2001	-99	2. Developed region: nonG7	1. High income: OECD	-99		ES	ESP	724	724	ES	ESP	-99	ESP	ESP	-99	-99	Europe	Europe	Southern Europe	Europe & Central Asia	5	5	3	-99	1	#640b80	#ca3e95	#64224	#9faab8	#ab6fe6	#832a41	#8563f5	#6f650f	#6458d9	#255072
1	Admin-0 country	6	Estonia	EST	0	2	Sovereign country	Estonia	EST	0	Estonia	EST	0	Estonia	EST	0	Estonia	Estonia	EST	Estonia		Est.	EST	Republic of Estonia				Estonia		3	2	1	10	1299371	27410.0	-99	2000	-99	2. Developed region: nonG7	1. High income: OECD	-99		EE	EST	233	233	EE	EST	-99	EST	EST	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	7	7	4	-99	1	#93ad4d	#553a54	#e0e5d7	#c064dd	#3c2c2c	#cc8492	#4a68de	#e254cd	#c1a273	#ec674b
1	Admin-0 country	2	Ethiopia	ETH	0	2	Sovereign country	Ethiopia	ETH	0	Ethiopia	ETH	0	Ethiopia	ETH	0	Ethiopia	Ethiopia	ETH	Ethiopia		Eth.	ET	Federal Democratic Republic of Ethiopia				Ethiopia		4	4	1	13	85237338	68770.0	-99	2007	-99	7. Least developed region	5. Low income	-99		ET	ETH	231	231	ET	ETH	-99	ETH	ETH	-99	-99	Africa	Africa	Eastern Africa	Sub-Saharan Africa	8	8	4	-99	1	#5150a5	#c5851a	#bf7afe	#1c6b2c	#c6398b	#216a1c	#9aa5c5	#601c79	#b3af3e	#19a7b2
1	Admin-0 country	3	Finland	FI1	1	2	Country	Finland	FIN	0	Finland	FIN	0	Finland	FIN	0	Finland	Finland	FIN	Finland		Fin.	FIN	Republic of Finland				Finland		4	1	4	6	5250275	193500.0	-99	2010	-99	2. Developed region: nonG7	1. High income: OECD	-99		FI	FIN	246	246	FI	FIN	-99	FIN	FIN	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	7	7	4	-99	1	#a4bab3	#63bfbf	#a20ca5	#f57947	#29103f	#d45501	#86eb3f	#8106b7	#cba362	#c66617
1	Admin-0 country	6	Fiji	FJI	0	2	Sovereign country	Fiji	FJI	0	Fiji	FJI	0	Fiji	FJI	0	Fiji	Fiji	FJI	Fiji		Fiji	FJ	Republic of Fiji				Fiji		5	1	2	2	944720	3579.0	-99	2007	-99	6. Developing region	4. Lower middle income	-99		FJ	FJI	242	242	FJ	FJI	-99	FJI	FJI	-99	-99	Oceania	Oceania	Melanesia	East Asia & Pacific	4	4	4	-99	1	#3b3b1f	#70dbc9	#2da77f	#1f7abd	#2c0e74	#1a813a	#cae029	#aa1044	#15627b	#244b14
1	Admin-0 country	5	United Kingdom	GB1	1	2	Dependency	Falkland Islands	FLK	0	Falkland Islands	FLK	0	Falkland Islands	FLK	1	Falkland Is.	Falkland Islands	B12	Falkland Is.		Flk. Is.	FK	Falkland Islands		U.K.	Admin. by U.K.; Claimed by Argentina	Falkland Islands	Islas Malvinas	6	6	6	3	3140	105.1	-99	-99	-99	2. Developed region: nonG7	1. High income: OECD	-99		FK	FLK	238	238	-99	-99	-99	FLK	FLK	-99	-99	South America	Americas	South America	Latin America & Caribbean	12	16	8	-99	-99	#2e4b67	#d12381	#d3ac10	#da8676	#e024fe	#e80a8f	#f747ea	#42dfc	#3a3b7d	#11f673
1	Admin-0 country	2	France	FR1	1	2	Country	France	FRA	0	France	FRA	0	France	FRA	0	France	France	FRA	France		Fr.	F	French Republic				France		7	5	9	11	64057792	2128000.0	-99	-99	-99	1. Developed region: G7	1. High income: OECD	-99		FR	FRA	250	250	FR	FRA	-99	FRA	FRA	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	6	6	3	-99	1	#d5b2f7	#372bf2	#5a9275	#acf2ef	#3cd7ee	#a69648	#de742a	#cdcb2a	#7aea82	#98bde5
3	Admin-0 country	6	Denmark	DN1	1	2	Dependency	Faroe Islands	FRO	0	Faroe Islands	FRO	0	Faroe Islands	FRO	0	Faeroe Is.	Faeroe Islands	FRO	Faeroe Islands		Faeroe Is.	FO	Føroyar Is. (Faeroe Is.)		Den.		Faeroe Islands		4	1	3	12	48856	1000.0	-99	2011	-99	2. Developed region: nonG7	2. High income: nonOECD	-99		FO	FRO	234	234	FO	FRO	-99	FRO	FRO	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	10	14	10	3	-99	#7eb4d6	#edf31d	#b92bf4	#277224	#cb9a04	#5a3d94	#631802	#1de4b6	#b49fa0	#6858c9
3	Admin-0 country	6	Federated States of Micronesia	FSM	0	2	Sovereign country	Federated States of Micronesia	FSM	0	Federated States of Micronesia	FSM	0	Federated States of Micronesia	FSM	0	Micronesia	Federated States of Micronesia	FSM	Micronesia		F.S.M.	FSM	Federated States of Micronesia				Micronesia, Federated States of		5	2	4	13	107434	238.1	-99	2000	-99	6. Developing region	4. Lower middle income	-99		FM	FSM	583	583	FM	FSM	-99	FSM	FSM	-99	-99	Oceania	Oceania	Micronesia	East Asia & Pacific	10	30	6	-99	1	#62320d	#847116	#e232f5	#69eaf6	#943932	#8df2df	#cfaa1d	#bb2499	#7f3308	#fd6158
1	Admin-0 country	4	Gabon	GAB	0	2	Sovereign country	Gabon	GAB	0	Gabon	GAB	0	Gabon	GAB	0	Gabon	Gabon	GAB	Gabon		Gabon	GA	Gabonese Republic				Gabon		6	2	5	5	1514993	21110.0	-99	2003	-99	6. Developing region	3. Upper middle income	-99		GA	GAB	266	266	GA	GAB	-99	GAB	GAB	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	5	5	5	3	1	#910138	#543e9d	#2a80b4	#efa0de	#e93da5	#d7bfcc	#fb931f	#9cc52a	#7b334d	#e66392
1	Admin-0 country	2	United Kingdom	GB1	1	2	Country	United Kingdom	GBR	0	United Kingdom	GBR	0	United Kingdom	GBR	0	United Kingdom	United Kingdom	GBR	United Kingdom		U.K.	GB	United Kingdom of Great Britain and Northern Ireland				United Kingdom		6	6	6	3	62262000	1977704.0	0	2011	2009	1. Developed region: G7	1. High income: OECD	-99		GB	GBR	826	826	GB	GBR	-99	GBR	GBR	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	14	14	4	-99	1	#a882ea	#bde8e8	#ae46c6	#837318	#f38d19	#43bb9e	#a2776	#27ffea	#d38747	#859170
1	Admin-0 country	5	Georgia	GEO	0	2	Sovereign country	Georgia	GEO	0	Georgia	GEO	0	Georgia	GEO	0	Georgia	Georgia	GEO	Georgia		Geo.	GE	Georgia				Georgia		5	1	3	2	4615807	21510.0	-99	2002	-99	6. Developing region	4. Lower middle income	-99		GE	GEO	268	268	GE	GEO	-99	GEO	GEO	-99	-99	Asia	Asia	Western Asia	Europe & Central Asia	7	7	4	-99	1	#38766	#46fdcd	#983591	#c52352	#391876	#6d7791	#4bc971	#5c1c88	#a1c50a	#3ec5c5
4	Admin-0 country	6	United Kingdom	GB1	1	2	Country	Guernsey	GGY	0	Guernsey	GGY	0	Guernsey	GGY	0	Guernsey	Guernsey	GGY	Guernsey	Channel Islands	Guern.	GG	Bailiwick of Guernsey		U.K. crown dependency		Guernsey		6	6	6	3	68633	2742.0	-99	2001	-99	2. Developed region: nonG7	2. High income: nonOECD	-99		GG	GGY	831	831	JG	CHI	-99	GGY	GGY	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	8	8	6	-99	-99	#dd4f0b	#ef0087	#3bf3b	#66d38c	#e9823e	#8f1aa7	#970b8b	#b99de0	#5b1619	#b10b5c
1	Admin-0 country	3	Ghana	GHA	0	2	Sovereign country	Ghana	GHA	0	Ghana	GHA	0	Ghana	GHA	0	Ghana	Ghana	GHA	Ghana		Ghana	GH	Republic of Ghana				Ghana		5	3	1	4	23832495	34200.0	-99	2010	-99	6. Developing region	4. Lower middle income	-99		GH	GHA	288	288	GH	GHA	-99	GHA	GHA	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	5	5	5	-99	1	#9136fd	#ad3b00	#b5ea85	#8b432	#b341e	#9fedcc	#69222a	#3c5e4d	#45aaef	#aec9b8
1	Admin-0 country	3	Guinea	GIN	0	2	Sovereign country	Guinea	GIN	0	Guinea	GIN	0	Guinea	GIN	0	Guinea	Guinea	GIN	Guinea		Gin.	GN	Republic of Guinea				Guinea		6	3	7	2	10057975	10600.0	-99	1996	-99	7. Least developed region	5. Low income	-99		GN	GIN	324	324	GN	GIN	-99	GIN	GIN	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	6	6	4	-99	1	#25b09c	#b22d41	#42626a	#bde8f7	#498537	#f9674d	#703a7b	#83b090	#5416a	#81ecdc
1	Admin-0 country	6	Gambia	GMB	0	2	Sovereign country	Gambia	GMB	0	Gambia	GMB	0	Gambia	GMB	0	Gambia	The Gambia	GMB	Gambia		Gambia	GM	Republic of the Gambia				Gambia, The		1	4	1	8	1782893	2272.0	-99	2003	-99	7. Least developed region	5. Low income	-99		GM	GMB	270	270	GM	GMB	-99	GMB	GMB	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	6	10	6	-99	1	#a41010	#6cad1a	#1743af	#95795b	#b4ec30	#28275	#64ea97	#2d54f5	#c59466	#75f71
1	Admin-0 country	6	Guinea Bissau	GNB	0	2	Sovereign country	Guinea Bissau	GNB	0	Guinea Bissau	GNB	0	Guinea Bissau	GNB	0	Guinea-Bissau	Guinea-Bissau	GNB	Guinea-Bissau		GnB.	GW	Republic of Guinea-Bissau				Guinea-Bissau		3	5	3	4	1533964	904.2	-99	2009	-99	7. Least developed region	5. Low income	-99		GW	GNB	624	624	GW	GNB	-99	GNB	GNB	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	13	13	4	-99	1	#2c93e9	#ded62e	#7e0a91	#180857	#fd974a	#f00093	#85d02a	#53eebd	#15c998	#d200b0
1	Admin-0 country	4	Equatorial Guinea	GNQ	0	2	Sovereign country	Equatorial Guinea	GNQ	0	Equatorial Guinea	GNQ	0	Equatorial Guinea	GNQ	0	Eq. Guinea	Equatorial Guinea	GNQ	Eq. Guinea		Eq. G.	GQ	Republic of Equatorial Guinea				Equatorial Guinea		4	1	4	8	650702	14060.0	0	2002	0	7. Least developed region	2. High income: nonOECD	-99		GQ	GNQ	226	226	GQ	GNQ	-99	GNQ	GNQ	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	10	17	6	-99	1	#1fbd95	#abb665	#faa810	#fe948c	#d20015	#29a460	#39804	#f80eda	#efb193	#827ded
